2020-04-23 03:03:25 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u1
2020-04-23 03:03:25 install libldap2-dev:amd64 <none> 2.4.47+dfsg-3+deb10u1
2020-04-23 03:03:25 status half-installed libldap2-dev:amd64 2.4.47+dfsg-3+deb10u1
2020-04-23 03:03:25 status unpacked libldap2-dev:amd64 2.4.47+dfsg-3+deb10u1
2020-04-23 03:03:25 install libexpat1-dev:amd64 <none> 2.2.6-2+deb10u1
2020-04-23 03:03:25 status half-installed libexpat1-dev:amd64 2.2.6-2+deb10u1
2020-04-23 03:03:25 status unpacked libexpat1-dev:amd64 2.2.6-2+deb10u1
2020-04-23 03:03:25 install libaprutil1-dev:amd64 <none> 1.6.1-4
2020-04-23 03:03:25 status half-installed libaprutil1-dev:amd64 1.6.1-4
2020-04-23 03:03:25 status unpacked libaprutil1-dev:amd64 1.6.1-4
2020-04-23 03:03:25 install libaprutil1-ldap:amd64 <none> 1.6.1-4
2020-04-23 03:03:25 status half-installed libaprutil1-ldap:amd64 1.6.1-4
2020-04-23 03:03:25 status unpacked libaprutil1-ldap:amd64 1.6.1-4
2020-04-23 03:03:25 startup packages configure
2020-04-23 03:03:25 configure libexpat1:amd64 2.2.6-2+deb10u1 <none>
2020-04-23 03:03:25 status unpacked libexpat1:amd64 2.2.6-2+deb10u1
2020-04-23 03:03:25 status half-configured libexpat1:amd64 2.2.6-2+deb10u1
2020-04-23 03:03:25 status installed libexpat1:amd64 2.2.6-2+deb10u1
2020-04-23 03:03:25 configure libssl1.1:amd64 1.1.1d-0+deb10u3 <none>
2020-04-23 03:03:25 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u3
2020-04-23 03:03:25 status half-configured libssl1.1:amd64 1.1.1d-0+deb10u3
2020-04-23 03:03:25 status installed libssl1.1:amd64 1.1.1d-0+deb10u3
2020-04-23 03:03:25 configure libapr1:amd64 1.6.5-1+b1 <none>
2020-04-23 03:03:25 status unpacked libapr1:amd64 1.6.5-1+b1
2020-04-23 03:03:25 status half-configured libapr1:amd64 1.6.5-1+b1
2020-04-23 03:03:25 status installed libapr1:amd64 1.6.5-1+b1
2020-04-23 03:03:25 configure linux-libc-dev:amd64 4.19.98-1 <none>
2020-04-23 03:03:25 status unpacked linux-libc-dev:amd64 4.19.98-1
2020-04-23 03:03:25 status half-configured linux-libc-dev:amd64 4.19.98-1
2020-04-23 03:03:25 status installed linux-libc-dev:amd64 4.19.98-1
2020-04-23 03:03:25 configure libldap-common:all 2.4.47+dfsg-3+deb10u1 <none>
2020-04-23 03:03:25 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u1
2020-04-23 03:03:25 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u1
2020-04-23 03:03:25 status installed libldap-common:all 2.4.47+dfsg-3+deb10u1
2020-04-23 03:03:25 configure libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-04-23 03:03:25 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-04-23 03:03:25 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-04-23 03:03:25 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-04-23 03:03:25 configure libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1 <none>
2020-04-23 03:03:25 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-04-23 03:03:26 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-04-23 03:03:26 status installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-04-23 03:03:26 configure libsctp1:amd64 1.0.18+dfsg-1 <none>
2020-04-23 03:03:26 status unpacked libsctp1:amd64 1.0.18+dfsg-1
2020-04-23 03:03:26 status half-configured libsctp1:amd64 1.0.18+dfsg-1
